Organisation,Organisation Label,UPRN,AssetCode,Site Address,GeoX,GeoY,TenureType,Tenure Detail,Holding Type
Cheltenham Borough Council,23UB,010012809872,09/01024/LAND,Playing Field Elmfield Road Cheltenham Gloucestershire,394165,223688,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809877,09/01025/LAND,Playground Gardners Lane Cheltenham Gloucestershire,394100,223743,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809881,09/01029/BLDG,Public Convenience Coxs Meadow Old Bath Road Cheltenham Gloucestershire,395489,221322,Freehold,Leasehold,Public Conveinences
Cheltenham Borough Council,23UB,010012809883,09/01032/LAND,Car Park Jersey Street Cheltenham Gloucestershire,395370,222642,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809884,09/01036/LAND,Car Park Sidney Street Cheltenham Gloucestershire,395447,222060,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809888,09/01040/LAND,Allotments Hatherley Road Cheltenham Gloucestershire,392627,221507,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809892,09/01061/LAND,Car Park Lansdown Place Lane Cheltenham Gloucestershire,393972,221774,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809895,09/01064/BLDG,Pavillion Hatherley Park Hatherley Court Road Cheltenham Gloucestershire,393642,221228,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809902,09/01065/BLDG,Pavillion Priors Farm Imjin Road Cheltenham Gloucestershire,397089,222726,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809964,09/01834/LAND,Allotment Gardens Gloucester Road Cheltenham Gloucestershire,391937,224346,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809965,09/02390/BLDG,Recreation Ground Clyde Crescent Cheltenham Gloucestershire,396445,222993,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809966,09/02661/BLDG,Tramway Cottage Daisy Bank Road Cheltenham Gloucestershire,394944,218844,Freehold,Leasehold,Miscellaneous Operational
Cheltenham Borough Council,23UB,010012809967,09/02662/LAND,Allotment Gardens Asquith Road Cheltenham Gloucestershire,395208,220528,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809968,09/02663/LAND,Allotment Gardens Reddings Road Cheltenham Gloucestershire,391398,221099,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809969,09/02664/LAND,Playground Old Reddings Road Cheltenham Gloucestershire,391463,221073,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809970,09/02495/LAND,Allotment Gardens Severn Road Cheltenham Gloucestershire,396150,223141,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010012809974,09/04412/LAND,Golf Course Car Park Albemarle Gate Cheltenham Gloucestershire,395190,223664,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809988,09/04824/BLDG,St Stephen's Cricket Club Playing Field Wymans Lane Cheltenham Gloucestershire,393853,224992,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010012809991,09/04860/BLDG,Public Conveniences Ambrose Street Cheltenham Gloucestershire,394673,222704,,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010012809992,09/04845/LAND,Car Park St James Square Cheltenham Gloucestershire,394483,222405,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809993,10/00001/LAND,Car Park Up Hatherley Way Cheltenham Gloucestershire,392865,219928,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010012809994,09/05390/BLDG,Springbank Community Resource Centre Springbank Way Cheltenham Gloucestershire GL51 0LG,392115,223882,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,010024301214,09/05033/LAND,Land To The West Side Of Waterloo Street Cheltenham Gloucestershire,393885,223453,Leasehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301214,09/05032/LAND,Land To The West Side Of Waterloo Street Cheltenham Gloucestershire,393885,223453,Leasehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301218,09/05153/LAND,Land At St Peters Estate Bridge Street Cheltenham Gloucestershire,393695,223583,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301218,09/05155/LAND,Land At St Peters Estate Bridge Street Cheltenham Gloucestershire,393695,223583,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301410,09/04815/BLDG,Scouts Hut Alma Road Cheltenham Gloucestershire,392645,221000,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010024301411,09/00009/BLDG,Public Convenience Imperial Square Cheltenham Gloucestershire,394736,222093,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010024301480,15/00134/LAND,Land Adj To No 8 Manor Park Up Hatherley Cheltenham Gloucestershire,391759,220484,Freehold,Occupied by local authority,Other Land
Cheltenham Borough Council,23UB,010024301488,09/05371/LAND,Car Park St Peters Playing Field St Peters Close Cheltenham Gloucestershire,393593,223492,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024301489,09/00965/LAND,Car Park 2 Sidney Street Cheltenham Gloucestershire,395435,222070,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024301490,09/00972/LAND,Phoenix Passage Car Park High Street Cheltenham Gloucestershire,394443,222923,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024301492,09/00976/LAND,Car Park St Georges Road Cheltenham Gloucestershire,394436,222256,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024301492,23/00010/LAND,Car Park St Georges Road Cheltenham Gloucestershire,394436,222256,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024301493,09/05369/LAND,Car Park Prince Of Wales Stadium Tommy Taylors Lane Cheltenham Gloucestershire,394617,223742,Freehold,Leasehold,Car Parks
Cheltenham Borough Council,23UB,010024301495,09/01828/BLDG,Arle Nursery Old Gloucester Road Cheltenham Gloucestershire,391766,224277,Freehold,Occupied by local authority,Depot Industrial
Cheltenham Borough Council,23UB,010024301496,09/01829/BLDG,House 1 Arle Nursery Old Gloucester Road Cheltenham Gloucestershire,391730,224233,Freehold,Leasehold,Depot Industrial
Cheltenham Borough Council,23UB,010024301497,09/01830/BLDG,House 2 Arle Nursery Old Gloucester Road Cheltenham Gloucestershire,391735,224235,Freehold,Leasehold,Depot Industrial
Cheltenham Borough Council,23UB,010024301498,09/00870/LAND,Allotments Henley Road Cheltenham Gloucestershire,391301,223099,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301499,09/04846/LAND,Allotments Welch Road Cheltenham Gloucestershire,392370,223837,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301501,09/05377/STRUC,Bridge Malvern Road Cheltenham Gloucestershire,393835,222402,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010024301502,09/05373/STRUC,Bridge St Pauls Road Cheltenham Gloucestershire,394400,223252,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010024301503,09/05374/STRUC,Bridge Swindon Road Cheltenham Gloucestershire,394365,223162,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010024301504,09/05376/STRUC,Bridge Market Street Cheltenham Gloucestershire,394217,222815,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010024301505,10/00020/LAND,Ornamental Gardens Naunton Park Asquith Road Cheltenham Gloucestershire,395089,220814,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010024301518,10/00094/LAND,Land At Blaisdon Way Cheltenham Gloucestershire,392157,224246,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010024301563,10/00099/LAND,Land At Great Western Road Cheltenham Gloucestershire,394215,222710,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301615,10/00100/LAND,Land To The North Of Millbrook Street Cheltenham Gloucestershire,394108,222700,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010024301615,11/00011/LAND,Land To The North Of Millbrook Street Cheltenham Gloucestershire,394108,222700,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010024301684,09/02413/BLDG,Civil Service Sports Club Tewkesbury Road Swindon Village Cheltenham Gloucestershire GL51 9SL,392446,224421,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010024301685,09/01030/LAND,Civil Service Sports Ground Tewkesbury Road Cheltenham Gloucestershire,392291,224385,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024301686,09/00995/LAND,Barn Farm Tewkesbury Road Cheltenham Gloucestershire,390690,226456,Freehold,Leasehold,Farmland and Farms
Cheltenham Borough Council,23UB,010024302254,09/02450/BLDG,Hill Farm Leckhampton Hill Cheltenham Gloucestershire GL53 9QL,394911,218057,Freehold,Leasehold,Farmland and Farms
Cheltenham Borough Council,23UB,010024303504,14/00067/SITE,Car Park Synagogue Lane Cheltenham Gloucestershire,394547,222399,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024303504,15/00133/SITE,Car Park Synagogue Lane Cheltenham Gloucestershire,394547,222399,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,010024304340,12/00008/SITE,Public Open Space John Moore Gardens Cheltenham Gloucestershire,393609,220908,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024304490,12/00009/LAND,Land At Triscombe Way Cheltenham Gloucestershire,391758,223282,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024304593,10/00168/STRUC,Cenotaph Promenade Cheltenham Gloucestershire,394757,222283,Freehold,Occupied by local authority,Civic Regalia
Cheltenham Borough Council,23UB,010024304676,13/00001/LAND,Public Open Space At Charlcote Manor Caine Square Cheltenham Gloucestershire,391263,222318,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305149,13/00034/STRUC,Six Telephone Kiosks Outside 23 Promenade Cheltenham Gloucestershire,394874,222425,Chattel,Licence,Cultural Buildings Operational
Cheltenham Borough Council,23UB,010024305150,13/00035/STRUC,Four Telephone Kiosks Outside 43 Promenade Cheltenham Gloucestershire,394828,222367,Chattel,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,010024305450,16/00041/LAND,Farmed Land Hill Farm Leckhampton Hill Gloucestershire,394801,218168,Freehold,Leasehold,Farmland and Farms
Cheltenham Borough Council,23UB,010024305452,13/00008/LAND,Charlton Kings Common Leckhampton Hill Gloucestershire,395578,218546,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305453,14/00024/LAND,Reversion Field A Leckhampton Hill Gloucestershire,395069,218349,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305454,13/00007/LAND,Reversion Field B Leckhampton Hill Gloucestershire,395173,218312,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305455,14/00027/LAND,Disused Quarry Leckhampton Hill Gloucestershire,395117,218049,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305456,14/00028/LAND,Cowslip Meadow Cirencester Road Charlton Kings Gloucestershire,396471,218040,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010024305458,14/00029/LAND,Fields Off Cirencester Road Charlton Kings Gloucestershire,396618,218015,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010091669305,15/00078/LAND,Land In Edward Street Cheltenham Gloucestershire,394530,221041,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669306,15/00079/LAND,Land At Bouncers Lane Cheltenham Gloucestershire,396878,223692,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669307,15/00080/LAND,Land At Little Herberts Road Charlton Kings Cheltenham Gloucestershire,396669,220048,Freehold,Leasehold,
Cheltenham Borough Council,23UB,010091669308,15/00081/LAND,Land In Stanwick Drive Cheltenham Gloucestershire,393798,224012,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669309,15/00082/LAND,Land In London Road Cheltenham Gloucestershire,395542,221942,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669310,15/00083/LAND,Land In St Georges Street Cheltenham Gloucestershire,394728,222772,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669311,15/00084/LAND,Land In School Road Flats School Road Charlton Kings Cheltenham Gloucestershire,396632,220580,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669312,15/00090/LAND,Land Off Tewkesbury Road Cheltenham Gloucestershire,394244,223177,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669313,15/00085/LAND,Land In Nailsworth Terrace Cheltenham Gloucestershire,394496,222960,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669314,15/00086/LAND,Land Off Millbrook Street Cheltenham Gloucestershire,393918,222768,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669315,15/00087/LAND,Land In Hesters Way Road Cheltenham Gloucestershire,391906,223322,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669317,15/00088/LAND,Properties At Ledmore Road Charlton Kings Cheltenham Gloucestershire,396780,220627,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091669318,15/00089/LAND,Land At Kew Place Cheltenham Gloucestershire,394750,221273,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,010091670184,17/00001/STRUC,Kiosk Pittville Park Evesham Road Cheltenham Gloucestershire,395383,223530,Freehold,Leasehold,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010091670829,17/00013/STRUC,Charlton Kings Reil Church Piece Charlton Kings Cheltenham Gloucestershire,396574,220405,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010091670830,17/00022/STRUC,Skillicorne Gardens Imperial Square Cheltenham Gloucestershire,394712,222043,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010091670831,17/00011/STRUC,Whish's Fountain Sandford Park College Road Cheltenham Gloucestershire,395383,221668,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010091670833,17/00014/STRUC,Main Fountain Sandford Lido Keynsham Road Cheltenham Gloucestershire,395275,221646,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010091670834,17/00015/STRUC,Childrens Fountain Sandford Lido Keynsham Road Cheltenham Gloucestershire,395316,221690,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,010091670835,17/00016/STRUC,Edward Wilson Statue Long Gardens Promenade Cheltenham Gloucestershire,394716,222228,Freehold,Occupied by local authority,Art
Cheltenham Borough Council,23UB,010091670836,12/00002/STRUC,Boer War Memorial Long Gardens Promenade Cheltenham Gloucestershire,394799,222340,Freehold,Occupied by local authority,Civic Regalia
Cheltenham Borough Council,23UB,010091670837,17/00017/STRUC,Jubilee Monument Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire,394493,221902,Freehold,Occupied by local authority,Civic Regalia
Cheltenham Borough Council,23UB,010091670865,17/00024/STRUC,Drinking Fountain Winston Churchill Memorial Gardens Market Street Cheltenham Gloucestershire,394257,222849,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,010091671293,17/00076/STRUC,Mead Road Footbridge Mead Road Cheltenham Gloucestershire,395022,220354,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010091671294,17/00077/STRUC,Pilley Bridge Old Bath Road Cheltenham Gloucestershire,395227,220163,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010091671295,17/00078/STRUC,Pilley Footbridge Greatfield Drive Cheltenham Gloucestershire,395520,219990,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,010091671407,15/00168/LAND,Plot 1 Parton Road Land Adjacent Churchdown Community Association Cheltenham Gloucestershire,388254,220569,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010091671410,15/00169/LAND,Plot 2 Parton Road Land Adjacent Churchdown Community Association Cheltenham Gloucestershire,388231,220482,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,010091671546,18/00001/BLDG,Cricket Hall Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire,394709,223620,Freehold,Occupied by local authority,Sports Facilities
Cheltenham Borough Council,23UB,010091672175,19/00041/BLDG,Changing Places Pod Pittville Park Evesham Road Cheltenham Gloucestershire,395401,223528,Freehold,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010091672175,19/00039/STRUC,Changing Places Pod Pittville Park Evesham Road Cheltenham Gloucestershire,395401,223528,Chattel,Occupied by local authority,Public Conveinences
Cheltenham Borough Council,23UB,010091672176,19/00042/BLDG,Brick Built Mower Store Priors Farm Playing Field Imjin Road Cheltenham Gloucestershire,397087,222927,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,010091672552,20/00014/BLDG,Unit 5 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393773,223043,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010091672552,20/00017/BLDG,Unit 5 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393773,223043,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,010091672553,20/00018/BLDG,Unit 6 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393783,223035,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,010091672553,20/00015/BLDG,Unit 6 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393783,223035,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010091672554,20/00019/BLDG,Unit 7 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393795,223027,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,010091672554,20/00016/BLDG,Unit 7 Cheltenham Enterprise Centre Central Way Cheltenham Gloucestershire GL51 8JW,393795,223027,Freehold,Leasehold,Industrial
Cheltenham Borough Council,23UB,010091673327,23/00002/BLDG,Small Pavilion King George V Playing Field Brooklyn Road Cheltenham Gloucestershire,392749,222928,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100120371589,11/00026/LAND,2 Albemarle Gate Cheltenham Gloucestershire GL50 4PJ,395141,223641,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100120372283,09/04200/RES,90 Alstone Lane Cheltenham Gloucestershire GL51 8HJ,393316,222817,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100120375950,09/00145/BLDG,45 Burton Street Cheltenham Gloucestershire GL50 3NE,394352,222780,Freehold,Occupied by local authority,Depot Industrial
Cheltenham Borough Council,23UB,100120376251,15/00130/RES,8 Cakebridge Place Cheltenham Gloucestershire GL52 2DS,395894,223173,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,100120376252,17/00030/RES,9 Cakebridge Place Cheltenham Gloucestershire GL52 2DS,395889,223133,Freehold,Occupied by local authority,Buildings Declared Surplus
Cheltenham Borough Council,23UB,100120376253,15/00131/RES,10 Cakebridge Place Cheltenham Gloucestershire GL52 2DS,395907,223171,Freehold,Occupied by local authority,Buildings Declared Surplus
Cheltenham Borough Council,23UB,100120377101,09/04843/LAND,81 Charlton Lane Cheltenham Gloucestershire GL53 9EE,395265,220176,Freehold,Leasehold,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,100120381925,09/05391/LAND,4 Folly Lane Cheltenham Gloucestershire GL50 4BT,394496,223283,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100120384676,20/00011/RES,79 Haywards Road Charlton Kings Cheltenham Gloucestershire GL52 6RQ,396054,221628,Leasehold,Leasehold,
Cheltenham Borough Council,23UB,100120385705,23/00025/RES,8 Honeybourne Drive Cheltenham Gloucestershire GL51 0QJ,391819,223810,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,100120388082,09/00183/BLDG,26 Ledmore Road Charlton Kings Cheltenham Gloucestershire GL53 8RA,396811,220641,Freehold,Vacant,Buildings Declared Surplus
Cheltenham Borough Council,23UB,100120391481,09/04863/LAND,11 Morlands Drive Charlton Kings Cheltenham Gloucestershire GL53 8LR,396561,219691,Freehold,Leasehold,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,100120394714,09/04833/STRUC,1 Popes Close Cheltenham Gloucestershire GL50 4BQ,394540,223061,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100120394794,12/00003/LAND,33 Portland Square Cheltenham Gloucestershire GL52 2HS,395348,222759,Freehold,Vacant,Miscellaneous Operational
Cheltenham Borough Council,23UB,100120403231,09/04865/LAND,16 Whitehart Street Cheltenham Gloucestershire GL51 9ER,394307,223061,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,100120406586,22/00006/LAND,Homelea Fiddlers Green Lane Cheltenham Gloucestershire GL51 0TD,390812,222197,Freehold,Leasehold,
Cheltenham Borough Council,23UB,100120406586,23/00023/SITE,Homelea Fiddlers Green Lane Cheltenham Gloucestershire GL51 0TD,390812,222197,Freehold,Leasehold,
Cheltenham Borough Council,23UB,100120407207,09/05379/LAND,The Holte Griffiths Avenue Cheltenham Gloucestershire GL51 7BH,392897,222203,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100120407207,10/00218/BLDG,The Holte Griffiths Avenue Cheltenham Gloucestershire GL51 7BH,392897,222203,Freehold,Leashold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100120407839,09/00962/LAND,1 Phoenix Cottage High Street Cheltenham Gloucestershire GL50 3HU,394448,222905,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100121227584,09/04839/BLDG,Beechwood Place Shopping Centre High Street Cheltenham Gloucestershire GL50 1DQ,395154,222403,Leasehold,Licence,Commercial
Cheltenham Borough Council,23UB,100121227653,09/01612/BLDG,Everyman Theatre 7 - 10 Regent Street Cheltenham Gloucestershire GL50 1HQ,394941,222343,Freehold,Leasehold,Cultural Buildings Non Operational
Cheltenham Borough Council,23UB,100121227707,09/00024/BLDG,33 High Street Cheltenham Gloucestershire GL50 1DY,395258,222115,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121227763,18/00023/BLDG,53 - 57 Rodney Road Cheltenham Gloucestershire GL50 1HX,394902,222209,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228065,09/00026/BLDG,2 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228066,09/00027/BLDG,3 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228067,09/00028/BLDG,4 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228068,09/00029/BLDG,5 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228069,09/00030/BLDG,6 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228070,09/00031/BLDG,7 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228071,09/00032/BLDG,8 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228117,09/00035/BLDG,11 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228137,09/00036/BLDG,12 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Licence,Commercial
Cheltenham Borough Council,23UB,100121228152,09/00039/BLDG,15 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228175,09/00007/BLDG,Proscenium Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire,394543,221771,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100121228178,09/00025/BLDG,1 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228217,18/00029/BLDG,Ellenborough House Oriel Road Cheltenham Gloucestershire GL50 1XN,394931,222036,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228232,09/00033/BLDG,9 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228233,09/00034/BLDG,10 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228234,09/00037/BLDG,13 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121228235,09/00040/BLDG,16 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121229648,10/00053/LAND,Wynnstay House St James Square Cheltenham Gloucestershire GL50 3PU,394534,222431,Freehold,Leasehold,Car Parks
Cheltenham Borough Council,23UB,100121229727,09/04821/BLDG,Cheltenham Library Clarence Street Cheltenham Gloucestershire GL50 3JT,394713,222550,Freehold,Leasehold,Cultural Buildings Non Operational
Cheltenham Borough Council,23UB,100121229787,09/00122/BLDG,3 Chester Walk Cheltenham Gloucestershire GL50 3JY,394755,222526,Freehold,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,100121229788,09/00123/BLDG,4 Chester Walk Cheltenham Gloucestershire GL50 3JY,394752,222528,Freehold,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,100121229789,09/00124/BLDG,5 Chester Walk Cheltenham Gloucestershire GL50 3JY,394749,222530,Freehold,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,100121229936,09/05286/BLDG,3 St Georges Place Cheltenham Gloucestershire GL50 3LA,394760,222655,Freehold,Vacant,Buildings Declared Surplus
Cheltenham Borough Council,23UB,100121229959,09/01004/BLDG,87 St Georges Place Cheltenham Gloucestershire GL50 3QB,394554,222355,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100121230164,22/00008/SITE,Poundland 232 - 234 High Street Cheltenham Gloucestershire GL50 3HF,394812,222604,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121230164,22/00011/BLDG,Poundland 232 - 234 High Street Cheltenham Gloucestershire GL50 3HF,394812,222604,Freehold,Leasehold,Commercial
